ID	Birth	Death	
1	1	28	
2	1	54	
3	1	65	
4	1	83	
5	1	85	
6	1	86	
7	1	86	
8	1	87	
9	1	88	
10	1	92	
11	1	94	
12	1	94	
13	1	95	
14	1	100	
15	1	100	
16	1	106	
17	1	109	
18	1	109	
19	1	111	
20	1	112	
21	1	112	
22	1	112	
23	1	116	
24	1	125	
25	1	126	
26	1	129	
27	1	131	
28	1	131	
29	1	131	
30	1	133	
31	1	141	
32	1	142	
33	1	145	
34	1	145	
35	1	149	
36	1	152	
37	1	155	
38	1	156	
39	1	161	
40	1	168	
41	1	186	
42	1	187	
43	1	48	
44	1	56	
45	1	57	
46	1	63	
47	1	70	
48	1	73	
49	1	73	
50	1	74	
51	1	80	
52	1	82	
53	1	82	
54	1	84	
55	1	84	
56	1	87	
57	1	91	
58	1	93	
59	1	100	
60	1	100	
61	1	100	
62	1	103	
63	1	107	
64	1	107	
65	1	107	
66	1	112	
67	1	113	
68	1	114	
69	1	116	
70	1	116	
71	1	119	
72	1	119	
73	1	120	
74	1	120	
75	1	129	
76	1	137	
77	1	138	
78	1	142	
79	1	145	
80	1	145	
81	1	146	
82	1	161	
83	1	171	
84	1	175	
85	1	38	
86	1	42	
87	1	49	
88	1	49	
89	1	50	
90	1	66	
91	1	70	
92	1	70	
93	1	72	
94	1	74	
95	1	77	
96	1	79	
97	1	81	
98	1	81	
99	1	83	
100	1	88	
101	1	91	
102	1	97	
103	1	97	
104	1	99	
105	1	100	
106	1	101	
107	1	103	
108	1	104	
109	1	105	
110	1	105	
111	1	106	
112	1	108	
113	1	110	
114	1	111	
115	1	112	
116	1	126	
117	1	129	
118	1	133	
119	1	133	
120	1	135	
121	1	138	
122	1	147	
123	1	149	
124	1	186	
125	1	189	
126	1	206	
127	1	290	
128	1	45	
129	1	55	
130	1	56	
131	1	56	
132	1	56	
133	1	63	
134	1	63	
135	1	63	
136	1	70	
137	1	70	
138	1	70	
139	1	72	
140	1	72	
141	1	73	
142	1	73	
143	1	77	
144	1	78	
145	1	79	
146	1	79	
147	1	81	
148	1	81	
149	1	81	
150	1	83	
151	1	84	
152	1	84	
153	1	86	
154	1	87	
155	1	91	
156	1	91	
157	1	93	
158	1	95	
159	1	95	
160	1	95	
161	1	95	
162	1	95	
163	1	96	
164	1	101	
165	1	101	
166	1	104	
167	1	104	
168	1	105	
169	1	105	
170	1	107	
171	1	111	
172	1	112	
173	1	118	
174	1	118	
175	1	120	
176	1	120	
177	1	125	
178	1	125	
179	1	126	
180	1	128	
181	1	128	
182	1	129	
183	1	129	
184	1	130	
185	1	131	
186	1	131	
187	1	131	
188	1	132	
189	1	137	
190	1	137	
191	1	141	
192	1	142	
193	1	145	
194	1	145	
195	1	145	
196	1	146	
197	1	201	
198	1	206	
199	1	305	
200	1	162	
201	1	130	
202	1	140	
203	1	207	
204	1	222	
205	1	230	
206	1	146	
207	1	95	
208	1	118	
209	1	83	
210	1	147	
211	1	138	
212	1	187	
213	1	198	
214	1	75	
215	1	271	
216	1	272	
217	1	203	
218	1	157	
219	1	157	
220	1	180	
221	1	187	
222	1	141	
223	1	117	
224	1	120	
225	1	123	
226	1	125	
227	1	155	
228	1	156	
229	1	167	
230	1	220	
231	1	134	
232	1	108	
233	1	108	
234	1	123	
235	1	126	
236	1	118	
237	1	120	
238	1	197	
239	1	150	
240	1	162	
241	1	169	
