ID	Status	Death	Treatment	Gen.background	Sex	
1	1	28	WTmale	WT	male	
2	1	54	WTmale	WT	male	
3	1	65	WTmale	WT	male	
4	1	83	WTmale	WT	male	
5	1	85	WTmale	WT	male	
6	1	86	WTmale	WT	male	
7	1	86	WTmale	WT	male	
8	1	87	WTmale	WT	male	
9	1	88	WTmale	WT	male	
10	1	92	WTmale	WT	male	
11	1	94	WTmale	WT	male	
12	1	94	WTmale	WT	male	
13	1	95	WTmale	WT	male	
14	1	100	WTmale	WT	male	
15	1	100	WTmale	WT	male	
16	1	106	WTmale	WT	male	
17	1	109	WTmale	WT	male	
18	1	109	WTmale	WT	male	
19	1	111	WTmale	WT	male	
20	1	112	WTmale	WT	male	
21	1	112	WTmale	WT	male	
22	1	112	WTmale	WT	male	
23	1	116	WTmale	WT	male	
24	1	125	WTmale	WT	male	
25	1	126	WTmale	WT	male	
26	1	129	WTmale	WT	male	
27	1	131	WTmale	WT	male	
28	1	131	WTmale	WT	male	
29	1	131	WTmale	WT	male	
30	1	133	WTmale	WT	male	
31	1	141	WTmale	WT	male	
32	1	142	WTmale	WT	male	
33	1	145	WTmale	WT	male	
34	1	145	WTmale	WT	male	
35	1	149	WTmale	WT	male	
36	1	152	WTmale	WT	male	
37	1	155	WTmale	WT	male	
38	1	156	WTmale	WT	male	
39	1	161	WTmale	WT	male	
40	1	168	WTmale	WT	male	
41	1	186	WTmale	WT	male	
42	1	187	WTmale	WT	male	
43	1	48	mutantmale	mutant	male	
44	1	56	mutantmale	mutant	male	
45	1	57	mutantmale	mutant	male	
46	1	63	mutantmale	mutant	male	
47	1	70	mutantmale	mutant	male	
48	1	73	mutantmale	mutant	male	
49	1	73	mutantmale	mutant	male	
50	1	74	mutantmale	mutant	male	
51	1	80	mutantmale	mutant	male	
52	1	82	mutantmale	mutant	male	
53	1	82	mutantmale	mutant	male	
54	1	84	mutantmale	mutant	male	
55	1	84	mutantmale	mutant	male	
56	1	87	mutantmale	mutant	male	
57	1	91	mutantmale	mutant	male	
58	1	93	mutantmale	mutant	male	
59	1	100	mutantmale	mutant	male	
60	1	100	mutantmale	mutant	male	
61	1	100	mutantmale	mutant	male	
62	1	103	mutantmale	mutant	male	
63	1	107	mutantmale	mutant	male	
64	1	107	mutantmale	mutant	male	
65	1	107	mutantmale	mutant	male	
66	1	112	mutantmale	mutant	male	
67	1	113	mutantmale	mutant	male	
68	1	114	mutantmale	mutant	male	
69	1	116	mutantmale	mutant	male	
70	1	116	mutantmale	mutant	male	
71	1	119	mutantmale	mutant	male	
72	1	119	mutantmale	mutant	male	
73	1	120	mutantmale	mutant	male	
74	1	120	mutantmale	mutant	male	
75	1	129	mutantmale	mutant	male	
76	1	137	mutantmale	mutant	male	
77	1	138	mutantmale	mutant	male	
78	1	142	mutantmale	mutant	male	
79	1	145	mutantmale	mutant	male	
80	1	145	mutantmale	mutant	male	
81	1	146	mutantmale	mutant	male	
82	1	161	mutantmale	mutant	male	
83	1	171	mutantmale	mutant	male	
84	1	175	mutantmale	mutant	male	
85	1	38	WTfemale	WT	female	
86	1	42	WTfemale	WT	female	
87	1	49	WTfemale	WT	female	
